title,description,city,contact,nr,latitude,longitude
"Nachbarschaftshilfe Ammersee, Bayern, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 1,Ammersee,"Telegram: https://t.me/solidarischammersee<br><br>Ammersee, 86911, Germany",1,48.0095949,11.117341
"Nachbarschaftshilfe Augsburg, Bayern, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 2,Augsburg,"Telegram: https://t.me/joinchat/LXjLxRONXDZb5w0yJie4Sw<br><br>Augsburg, Germany",2,48.3705449,10.89779
"Nachbarschaftshilfe Aumühle, Schleswig-Holstein, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 3,Aumühle,"Telegram: https://t.me/aumuehle_gegen_corona<br><br>24837 Schleswig, Germany",3,54.5239312,9.563227
"Nachbarschaftshilfe Bergisch Gladbach, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 4,Bergisch Gladbach,"Telegram: https://t.me/bgsolidarisch<br><br>Bergisch Gladbach, Germany",4,50.9923091,7.1286213
"Nachbarschaftshilfe metropolitan, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 5,Berlin,"Telegram: https://t.me/joinchat/IafppEdTmHTRObqU4-VTeg<br><br>Berlin, Germany",5,52.52000659999999,13.404954
"Nachbarschaftshilfe Charlottenburg, 10623, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 6,Berlin,"Telegram: https://t.me/joinchat/Nslp-xzTmBDuGbLtVRzDDA<br><br>Charlottenburg, Berlin, Germany",6,52.5166023,13.3041054
"Nachbarschaftshilfe Friedrichshain, 10247, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 7,Berlin,"Telegram: https://t.me/joinchat/D5wR1Ba1moARnvFKrnVLqQ<br><br>Friedrichshain, Berlin, Germany",7,52.51582399999999,13.4539891
"Nachbarschaftshilfe Köpenick, 12555, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 8,Berlin,"* Telegram: https://t.me/joinchat/E4686xY3QwwG8WsDx0Bd5A * Facebook: https://www.facebook.com/groups/QuarantaeneKoepenick<br><br>Berlin, Germany",8,52.52000659999999,13.404954
"Nachbarschaftshilfe Kreuzberg, 10999, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 10,Berlin,"* Allgemein Telegram: https://t.me/joinchat/DB-ZeRdcfC2_ytABw6lq9g * Kotti Telegram: https://t.me/kottisoli * Wrangelkiez Telegram: https://t.me/wrangekiezsoli<br><br>Kreuzberg, Berlin, Germany",10,52.4983442,13.4065791
"Nachbarschaftshilfe Lichtenberg, 10365, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 11,Berlin,"* Telegram: https://t.me/LbergSoliGegenC19 * Hohenschönhausen Telegram: https://t.me/hsh_soli * Karlshorst Telegram: https://t.me/KarlshorstSoli * Kaskelkiez Telegram: https://t.me/joinchat/NRsc8hzsqLYpf52YsaTQDQ * Siegfriedkiez Telegram: https://t.me/joinchat/EjMqwhoECv7GTpn1BgmSvQ * Weitlingkiez Telegram: https://t.me/weitlingsolic19<br><br>Lichtenberg, Berlin, Germany",11,52.53359039999999,13.4998575
"Nachbarschaftshilfe Marzahn-Hellersdorf, 12681, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 12,Berlin,"* Allgemein Telegram: https://t.me/marzahnhellersdorf * Mahlsdorf Süd Telegram: https://t.me/joinchat/BvFi4Bip2es31cNUWWZgmg<br><br>Marzahn, Berlin, Germany",12,52.5446501,13.5646433
"Nachbarschaftshilfe Mitte, 10178, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 13,Berlin,"Telegram: https://t.me/joinchat/OkqYFxlwJ3jGzOBWP2uEcg<br><br>10178, Berlin, Germany",13,52.532647,13.397786
"Nachbarschaftshilfe Moabit, 10557, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 14,Berlin,"Telegram: https://t.me/joinchat/EEi8gEn9moAVmOkp_gw2KQ<br><br>Moabit, Berlin, Germany",14,52.53078290000001,13.3471759
"Nachbarschaftshilfe Neukölln, 12043, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 15,Berlin,"Allgemein Telegram: https://t.me/joinchat/JI6BoBgx71OTmdhcU2GSow * Anzengruberstraße Telegram: https://t.me/joinchat/Cqk-URvhKmtnwbasRzeGvQ * Britz Telegram: https://t.me/britz_zusammen_gegen_corona * Leinestraße Telegram: https://t.me/rundumdieleine * Flughafenkiez Telegram: https://t.me/flughafenkiez * Hermannstraße Telegram: https://t.me/joinchat/Chi9jh1_dgxcBxXpp6d6mQ * Körnerkiez Telegram: https://t.me/KoernerkiezSoli * Reuterkiez Telegram: https://t.me/joinchat/AlAAQxGP64bJa2wOVsSqmQ * Rixdorf Telegram: https://t.me/rix_hilft * S Hermmanstraße Telegram: https://t.me/joinchat/Chi9jh1_dgxcBxXpp6d6mQ * Schillerkiez Telegram: https://t.me/schillerkiez_soli * Weserkiez Telegram: https://t.me/joinchat/BpAuihiBYE7aV2tPmpjwpw * Wildenbruchplatz Telegram: https://t.me/joinchat/NdJgZhI0JcFRaJ4Qe5dPMQ<br><br>Berlin, Germany",15,52.52000659999999,13.404954
"Nachbarschaftshilfe Pankow, 13187, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 16,Berlin,"* Allgemein Telegram: https://t.me/joinchat/LhKlcBl1Yn8vovP_pbtGlg * Wilmersruh Telegram: https://t.me/wilhelmsruh<br><br>Pankow, Berlin, Germany",16,52.5928787,13.4317001
"Nachbarschaftshilfe Prenzlauer Berg, 10119, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 17,Berlin,"Allgemein Telegram: https://t.me/Prenzlauerberg * Arnim-Platz-Kiez Telegram: https://t.me/covid19solidaritaet10439b1 * 10405 Telegram: https://t.me/joinchat/ANOJMR2EguN003OX2JrmAg * 10407 Telegram: https://t.me/joinchat/C1LJ6B2mNiSN0J0K84NMHg<br><br>10119 Berlin, Deutschland",17,52.530741,13.4058114
"Nachbarschaftshilfe Schöneberg, 10789, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 18,Berlin,"Telegram: https://t.me/schoeneberg_solidarisch<br><br>Schöneberg, 10789, Berlin, Germany",18,52.501156,13.336529
"Nachbarschaftshilfe Steglitz, 12163, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 19,Berlin,"* Allgemein Telegram: https://t.me/Steglitz_solidarisch * Lichterfelde Telegram: https://t.me/solinachb_lichterfelde12xxx<br><br>Steglitz, Berlin, Germany",19,52.4530959,13.3311709
"Nachbarschaftshilfe Tempelhof, 12101, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 20,Berlin,"Telegram: https://t.me/joinchat/EsBMfxpvf2eDzFHhDsaHEQ<br><br>Tempelhof, Berlin, Germany",20,52.4694927,13.3855997
"Nachbarschaftshilfe Berlin Treptow 12435, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 21,Berlin,"* Allgemein Telegram: https://t.me/treptow_corona * Adlershof / Altglienicke Telegram: https://t.me/AdlershofAltglienickeSoli * Alt-Treptow Telegram: https://t.me/alttreptow_corona * Plänterwald / Baumschulenweg Telegram: https://t.me/plaenterwald_baume * Schöneweide / Johannisthal Telegram: https://t.me/SchoeweJohanniSoli<br><br>Berlin Treptow 12435, Berlin, Germany",21,52.432466,13.584581
"Nachbarschaftshilfe Wedding, 13347, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 22,Berlin Wedding,"Telegram: https://t.me/joinchat/Ip8TjxvabvS7GoKcJ2dL0w<br><br>Wedding, Berlin, Germany",22,52.5504827,13.3519841
"Nachbarschaftshilfe Wilmersdorf, 10713, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 23,Berlin Wilmersdorf,"Telegram: https://t.me/joinchat/DN2sTBg7pC8smYc1VOQz4w<br><br>Mecklenburgische Str. 20, 10713 Berlin, Germany",23,52.48084369999999,13.3130799
"Nachbarschaftshilfe Zehlendorf, 14169, Berlin, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 24,Berlin Zehlendorf,"Telegram: https://t.me/joinchat/JVMosBR__bPjZgreNOD-dQ<br><br>Zehlendorf, Berlin, Germany",24,52.43507719999999,13.260425
"Nachbarschaftshilfe Bielefeld, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 404,Bielefeld,"Telegram: https://t.me/joinchat/F8mT4xvDSE19NvT3CbdXAA<br><br>Karl-Eilers-Straße 20, 33602 Bielefeld, Germany",404,52.0252647,8.529122599999999
