nr,city,title,description,tags,location,contact,latitude,longitude,geo
5,Civitella Roveto,P.A. Croce Verde Civitella Roveto (AQ),"Servizio di consegna a domicilio di farmaci e beni di prima necessità per le categorie più a rischio (anziani, affetti da patologie croniche, immunodepress) residenti nella Valle Roveto.", Pronto farmaci e/o spesa,"41.916026, 13.426898","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/5 for details.",41.916026,13.426898,
6,Alba Adriatica,P.A. Croce Bianca Alba Adriatica (TE),Consegna farmaci nel territorio del comune di Alba Adriatica in collaborazione con il Centro Operativo Comunale., Pronto farmaci e/o spesa,"42.834342, 13.927816","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/6 for details.",42.834342,13.927816,
7,Teramo,P.A. Croce Bianca Teramo (TE),"Consegna a domicilio di farmaci e generi alimentari sul territorio di Teramo, in collaborazione con il Centro Operativo Comunale.", Pronto farmaci e/o spesa,"42.658118, 13.699625","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/7 for details.",42.658118,13.699625,
8,Mosciano Sant'Angelo,P.A. Soccorso Amico di Mosciano Sant'Angelo (TE),"Consegna a domicilio di farmaci e beni di prima necessità nel territorio di Mosciano Sant'Angelo, in collaborazione con il Centro Operativo Comunale.", Pronto farmaci e/o spesa,"42.746847, 13.888296","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/8 for details.",42.746847,13.888296,
9,Pineto,P.A. Pros Pineto (TE),Consegna farmaci sul territorio di Pineto in collaborazione con il Centro Operativo Comunale., Pronto farmaci e/o spesa,"42.607318, 14.067329","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/9 for details.",42.607318,14.067329,
10,Castellalto,P.A. Croce Gialla Vomano (TE),"Consegna a domicilio di farmaci e generi alimentari sul territorio di Castellalto, in collaborazione con il Centro Operativo Comunale.", Pronto farmaci e/o spesa,"42.629129, 13.850844","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/10 for details.",42.629129,13.850844,
11,Martinsicuro,P.A. Croce Verde Villa Rosa (TE),"Consegna a domicilio di farmaci nel territorio di Martinsicuro, in collaborazione con il Centro Operativo Comunale.", Pronto farmaci e/o spesa,"42.850987, 13.921552","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/11 for details.",42.850987,13.921552,
12,Morro D'oro,P.A. Protezione civile Morro D'Oro (TE),"Consegna a domicilio di farmaci, generi alimentari e mangimi per animali sul territorio di Morro d'oro, in collaborazione con il Centro Operativo Comunale.", Pronto farmaci e/o spesa,"42.663744, 13.919497","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/12 for details.",42.663744,13.919497,
13,Ocre,P.A. Protezione Civile di Ocre (AQ),"Servizio di SPESA e FARMACI a domicilio in collaborazione con il Comune di Ocre, per anziani e coloro che non possono muoversi di casa. Servizio è ATTIVO il MARTEDÌ e il VENERDÌ. Telefonare il giorno precedente entro le ore 16 e 30", Pronto farmaci e/o spesa,"42.277404, 13.468165","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/13 for details.",42.277404,13.468165,
14,Montereale,P.A. Montereale (AQ),"Servizio di consegna a domicilio farmaci e spesa in collaborazione con il Comune, esteso a tutti gli anziani e pazienti con pluripatologia (dal lunedì al venerdì) sul territorio di Montereale e Capitignano.", Pronto farmaci e/o spesa,"42.525095, 13.244072","This is a post from ANPAS.
See https://anpas.ushahidi.io/posts/14 for details.",42.525095,13.244072,
