summary,content,tag,status,start,end,region,lat,lng,url
Untersagung Großveranstaltungen,"DE-BW Baden-Württemberg - *Gültig* -

Von 11.03.2020 / Gültig bis unbegrenzt
- ACHTUNG Könnte abgelöst sein von bundesweiten Anordnungen (federal law):

https://www.bundesregierung.de/breg-de/themen/coronavirus/coronavirus-1725960

https://www.bundesregierung.de/breg-de/aktuelles

Neun Punkte Plan

• Ansammlungen von mehr als 2 Personen sind bundesweit verboten.
Ausgenommen werden sollen Familien sowie in einem Haushalt lebende Personen.

• Generell soll der Kontakt zu anderen auf ein Mindestmaß beschränkt werden.

• In der Öffentlichkeit muss ein 1,50-Meter-Abstand eingehalten werden.

• Gastronomiebetriebe sollen geschlossen bleiben. Die Lieferung und das Abholen mitnahmefähiger Speisen für den Verzehr zu Hause bleibt aber erlaubt.

• Dienstleistungsbetriebe im Bereich der Körperpflege - darunter Friseure und Kosmetikstudios - sollen geschlossen werden. Medizinisch notwendige Behandlungen sollen weiter möglich bleiben.

• Verstöße gegen die Kontaktbeschränkungen sollen von Ordnungsbehörden und Polizei überwacht und sanktioniert werden.

• Hygienevorschriften sollen in Betrieben für Mitarbeiter und Besucher eingehalten werden.

• Der Weg zur Arbeit, Hilfe für andere oder individueller Sport und Bewegung an der frischen Luft sollen der Vereinbarung zufolge aber weiterhin möglich sein. Ausnahmen gelten demnach zudem für zwingend notwendige Zusammenkünfte aus geschäftlichen, beruflichen und dienstlichen sowie aus prüfungs- und betreuungsrelevanten Gründen.

• Die Anordnung gilt zunächst für zwei Wochen",Incident related to disaster control,Gültig,2020-03-10 00:00:01,unbegrenzt,DE-BW Baden-Württemberg,48.778614,9.183698,https://www.baden-wuerttemberg.de/de/service/presse/pressemitteilung/pid/land-untersagt-grossveranstaltungen/
Schließung von Kitas und Schulen,"DE-BW Baden-Württemberg - *Gültig* -

Von 13.03.2020 / Gültig bis Ende der Osterferien
- ACHTUNG Könnte abgelöst sein von bundesweiten Anordnungen (federal law):

https://www.bundesregierung.de/breg-de/themen/coronavirus/coronavirus-1725960

https://www.bundesregierung.de/breg-de/aktuelles

Neun Punkte Plan

• Ansammlungen von mehr als 2 Personen sind bundesweit verboten.
Ausgenommen werden sollen Familien sowie in einem Haushalt lebende Personen.

• Generell soll der Kontakt zu anderen auf ein Mindestmaß beschränkt werden.

• In der Öffentlichkeit muss ein 1,50-Meter-Abstand eingehalten werden.

• Gastronomiebetriebe sollen geschlossen bleiben. Die Lieferung und das Abholen mitnahmefähiger Speisen für den Verzehr zu Hause bleibt aber erlaubt.

• Dienstleistungsbetriebe im Bereich der Körperpflege - darunter Friseure und Kosmetikstudios - sollen geschlossen werden. Medizinisch notwendige Behandlungen sollen weiter möglich bleiben.

• Verstöße gegen die Kontaktbeschränkungen sollen von Ordnungsbehörden und Polizei überwacht und sanktioniert werden.

• Hygienevorschriften sollen in Betrieben für Mitarbeiter und Besucher eingehalten werden.

• Der Weg zur Arbeit, Hilfe für andere oder individueller Sport und Bewegung an der frischen Luft sollen der Vereinbarung zufolge aber weiterhin möglich sein. Ausnahmen gelten demnach zudem für zwingend notwendige Zusammenkünfte aus geschäftlichen, beruflichen und dienstlichen sowie aus prüfungs- und betreuungsrelevanten Gründen.

• Die Anordnung gilt zunächst für zwei Wochen",Incident related to disaster control,Gültig,2020-03-12 00:00:01,Ende der Osterferien,DE-BW Baden-Württemberg,48.778414,9.183498,https://static.kultus-bw.de/site/pbs-bw-new/get/documents/KULTUS.Dachmandant/KULTUS/KM-Homepage/Pressemitteilungen/Pressemitteilungen%202020/2020%2003%2013%20Corona%20Schlie%C3%9Fungen%20Schulen%20Kitas%20Tagespflege.pdf
Schließung Hochschulen,"DE-BW Baden-Württemberg - *Gültig* -

Von 11.03.2020 / Gültig bis 19.04.2020
- ACHTUNG Könnte abgelöst sein von bundesweiten Anordnungen (federal law):

https://www.bundesregierung.de/breg-de/themen/coronavirus/coronavirus-1725960

https://www.bundesregierung.de/breg-de/aktuelles

Neun Punkte Plan

• Ansammlungen von mehr als 2 Personen sind bundesweit verboten.
Ausgenommen werden sollen Familien sowie in einem Haushalt lebende Personen.

• Generell soll der Kontakt zu anderen auf ein Mindestmaß beschränkt werden.

• In der Öffentlichkeit muss ein 1,50-Meter-Abstand eingehalten werden.

• Gastronomiebetriebe sollen geschlossen bleiben. Die Lieferung und das Abholen mitnahmefähiger Speisen für den Verzehr zu Hause bleibt aber erlaubt.

• Dienstleistungsbetriebe im Bereich der Körperpflege - darunter Friseure und Kosmetikstudios - sollen geschlossen werden. Medizinisch notwendige Behandlungen sollen weiter möglich bleiben.

• Verstöße gegen die Kontaktbeschränkungen sollen von Ordnungsbehörden und Polizei überwacht und sanktioniert werden.

• Hygienevorschriften sollen in Betrieben für Mitarbeiter und Besucher eingehalten werden.

• Der Weg zur Arbeit, Hilfe für andere oder individueller Sport und Bewegung an der frischen Luft sollen der Vereinbarung zufolge aber weiterhin möglich sein. Ausnahmen gelten demnach zudem für zwingend notwendige Zusammenkünfte aus geschäftlichen, beruflichen und dienstlichen sowie aus prüfungs- und betreuungsrelevanten Gründen.

• Die Anordnung gilt zunächst für zwei Wochen",Incident related to disaster control,Gültig,2020-03-10 00:00:01,2020-04-18 00:00:01,DE-BW Baden-Württemberg,48.778514,9.183598,https://www.baden-wuerttemberg.de/de/service/presse/pressemitteilung/pid/vorlesungsbetrieb-an-hochschulen-ausgesetzt/
Weisung an die Gesundheitsämter hinsichtlich Umgang mit Menschen aus Risikogebieten,"DE-BW Baden-Württemberg - *Gültig* -

Von 12.03.2020 / Gültig bis unbegrenzt
- ACHTUNG Könnte abgelöst sein von bundesweiten Anordnungen (federal law):

https://www.bundesregierung.de/breg-de/themen/coronavirus/coronavirus-1725960

https://www.bundesregierung.de/breg-de/aktuelles

Neun Punkte Plan

• Ansammlungen von mehr als 2 Personen sind bundesweit verboten.
Ausgenommen werden sollen Familien sowie in einem Haushalt lebende Personen.

• Generell soll der Kontakt zu anderen auf ein Mindestmaß beschränkt werden.

• In der Öffentlichkeit muss ein 1,50-Meter-Abstand eingehalten werden.

• Gastronomiebetriebe sollen geschlossen bleiben. Die Lieferung und das Abholen mitnahmefähiger Speisen für den Verzehr zu Hause bleibt aber erlaubt.

• Dienstleistungsbetriebe im Bereich der Körperpflege - darunter Friseure und Kosmetikstudios - sollen geschlossen werden. Medizinisch notwendige Behandlungen sollen weiter möglich bleiben.

• Verstöße gegen die Kontaktbeschränkungen sollen von Ordnungsbehörden und Polizei überwacht und sanktioniert werden.

• Hygienevorschriften sollen in Betrieben für Mitarbeiter und Besucher eingehalten werden.

• Der Weg zur Arbeit, Hilfe für andere oder individueller Sport und Bewegung an der frischen Luft sollen der Vereinbarung zufolge aber weiterhin möglich sein. Ausnahmen gelten demnach zudem für zwingend notwendige Zusammenkünfte aus geschäftlichen, beruflichen und dienstlichen sowie aus prüfungs- und betreuungsrelevanten Gründen.

• Die Anordnung gilt zunächst für zwei Wochen",Incident related to disaster control,Gültig,2020-03-11 00:00:01,unbegrenzt,DE-BW Baden-Württemberg,48.778614,9.183398,https://sozialministerium.baden-wuerttemberg.de/fileadmin/redaktion/m-sm/intern/downloads/Downloads_Gesundheitsschutz/Coronavirus_Weisung-Gaemter-BW_Kliniken-Heime.pdf
Weisung an die Gesundheitsämter hinsichtlich Großveranstaltungen,"DE-BW Baden-Württemberg - *Gültig* -

Von 13.03.2020 / Gültig bis unbegrenzt
- ACHTUNG Könnte abgelöst sein von bundesweiten Anordnungen (federal law):

https://www.bundesregierung.de/breg-de/themen/coronavirus/coronavirus-1725960

https://www.bundesregierung.de/breg-de/aktuelles

Neun Punkte Plan

• Ansammlungen von mehr als 2 Personen sind bundesweit verboten.
Ausgenommen werden sollen Familien sowie in einem Haushalt lebende Personen.

• Generell soll der Kontakt zu anderen auf ein Mindestmaß beschränkt werden.

• In der Öffentlichkeit muss ein 1,50-Meter-Abstand eingehalten werden.

• Gastronomiebetriebe sollen geschlossen bleiben. Die Lieferung und das Abholen mitnahmefähiger Speisen für den Verzehr zu Hause bleibt aber erlaubt.

• Dienstleistungsbetriebe im Bereich der Körperpflege - darunter Friseure und Kosmetikstudios - sollen geschlossen werden. Medizinisch notwendige Behandlungen sollen weiter möglich bleiben.

• Verstöße gegen die Kontaktbeschränkungen sollen von Ordnungsbehörden und Polizei überwacht und sanktioniert werden.

• Hygienevorschriften sollen in Betrieben für Mitarbeiter und Besucher eingehalten werden.

• Der Weg zur Arbeit, Hilfe für andere oder individueller Sport und Bewegung an der frischen Luft sollen der Vereinbarung zufolge aber weiterhin möglich sein. Ausnahmen gelten demnach zudem für zwingend notwendige Zusammenkünfte aus geschäftlichen, beruflichen und dienstlichen sowie aus prüfungs- und betreuungsrelevanten Gründen.

• Die Anordnung gilt zunächst für zwei Wochen",Incident related to disaster control,Gültig,2020-03-12 00:00:01,unbegrenzt,DE-BW Baden-Württemberg,48.778314,9.183398,https://sozialministerium.baden-wuerttemberg.de/fileadmin/redaktion/m-sm/intern/downloads/Downloads_Gesundheitsschutz/Coronavirus_Weisung-SM-BW-Gro%C3%9Fveranstaltungen.pdf
Verordnung der Landesregierung über infektionsschützende Maßnahmen,"DE-BW Baden-Württemberg - Aufgehoben / Ersetzt -
Verordnung der Landesregierung über infektionsschützende Maßnahmen gegen die Ausbreitung des Virus SARS-Cov-2 (Corona-Verordnung - CoronaVO)
- ACHTUNG Könnte abgelöst sein von bundesweiten Anordnungen (federal law):

https://www.bundesregierung.de/breg-de/themen/coronavirus/coronavirus-1725960

https://www.bundesregierung.de/breg-de/aktuelles

Neun Punkte Plan

• Ansammlungen von mehr als 2 Personen sind bundesweit verboten.
Ausgenommen werden sollen Familien sowie in einem Haushalt lebende Personen.

• Generell soll der Kontakt zu anderen auf ein Mindestmaß beschränkt werden.

• In der Öffentlichkeit muss ein 1,50-Meter-Abstand eingehalten werden.

• Gastronomiebetriebe sollen geschlossen bleiben. Die Lieferung und das Abholen mitnahmefähiger Speisen für den Verzehr zu Hause bleibt aber erlaubt.

• Dienstleistungsbetriebe im Bereich der Körperpflege - darunter Friseure und Kosmetikstudios - sollen geschlossen werden. Medizinisch notwendige Behandlungen sollen weiter möglich bleiben.

• Verstöße gegen die Kontaktbeschränkungen sollen von Ordnungsbehörden und Polizei überwacht und sanktioniert werden.

• Hygienevorschriften sollen in Betrieben für Mitarbeiter und Besucher eingehalten werden.

• Der Weg zur Arbeit, Hilfe für andere oder individueller Sport und Bewegung an der frischen Luft sollen der Vereinbarung zufolge aber weiterhin möglich sein. Ausnahmen gelten demnach zudem für zwingend notwendige Zusammenkünfte aus geschäftlichen, beruflichen und dienstlichen sowie aus prüfungs- und betreuungsrelevanten Gründen.

• Die Anordnung gilt zunächst für zwei Wochen",Incident related to disaster control,Aufgehoben / Ersetzt,2020-03-15 00:00:01,unbegrenzt,DE-BW Baden-Württemberg,48.778314,9.183798,https://stm.baden-wuerttemberg.de/fileadmin/redaktion/dateien/PDF/200317_StM_VO_IfSG_Corona.pdf
Verordnung der Landesregierung über infektionsschützende Maßnahmen,"DE-BW Baden-Württemberg - *Gültig* -
Verordnung der Landesregierung über infektionsschützende Maßnahmen gegen die Ausbreitung des Virus SARS-Cov-2 (Corona-Verordnung - CoronaVO)

Von 17.03.2020 / Gültig bis unbegrenzt
- ACHTUNG Könnte abgelöst sein von bundesweiten Anordnungen (federal law):

https://www.bundesregierung.de/breg-de/themen/coronavirus/coronavirus-1725960

https://www.bundesregierung.de/breg-de/aktuelles

Neun Punkte Plan

• Ansammlungen von mehr als 2 Personen sind bundesweit verboten.
Ausgenommen werden sollen Familien sowie in einem Haushalt lebende Personen.

• Generell soll der Kontakt zu anderen auf ein Mindestmaß beschränkt werden.

• In der Öffentlichkeit muss ein 1,50-Meter-Abstand eingehalten werden.

• Gastronomiebetriebe sollen geschlossen bleiben. Die Lieferung und das Abholen mitnahmefähiger Speisen für den Verzehr zu Hause bleibt aber erlaubt.

• Dienstleistungsbetriebe im Bereich der Körperpflege - darunter Friseure und Kosmetikstudios - sollen geschlossen werden. Medizinisch notwendige Behandlungen sollen weiter möglich bleiben.

• Verstöße gegen die Kontaktbeschränkungen sollen von Ordnungsbehörden und Polizei überwacht und sanktioniert werden.

• Hygienevorschriften sollen in Betrieben für Mitarbeiter und Besucher eingehalten werden.

• Der Weg zur Arbeit, Hilfe für andere oder individueller Sport und Bewegung an der frischen Luft sollen der Vereinbarung zufolge aber weiterhin möglich sein. Ausnahmen gelten demnach zudem für zwingend notwendige Zusammenkünfte aus geschäftlichen, beruflichen und dienstlichen sowie aus prüfungs- und betreuungsrelevanten Gründen.

• Die Anordnung gilt zunächst für zwei Wochen",Incident related to disaster control,Gültig,2020-03-16 00:00:01,unbegrenzt,DE-BW Baden-Württemberg,48.778314,9.183698,https://stm.baden-wuerttemberg.de/fileadmin/redaktion/dateien/PDF/200317_StM_VO_IfSG_Corona.pdf
Verordnung der Landesregierung zur Änderung der Corona-Verordnung,"DE-BW Baden-Württemberg - *Gültig* -
Verordnung der Landesregierung zur Änderung der Corona-Verordnung (Corona-Verordnung - CoronaVO) vom 20. März 2020

Von 21.03.2020 / Gültig bis unbegrenzt
- ACHTUNG Könnte abgelöst sein von bundesweiten Anordnungen (federal law):

https://www.bundesregierung.de/breg-de/themen/coronavirus/coronavirus-1725960

https://www.bundesregierung.de/breg-de/aktuelles

Neun Punkte Plan

• Ansammlungen von mehr als 2 Personen sind bundesweit verboten.
Ausgenommen werden sollen Familien sowie in einem Haushalt lebende Personen.

• Generell soll der Kontakt zu anderen auf ein Mindestmaß beschränkt werden.

• In der Öffentlichkeit muss ein 1,50-Meter-Abstand eingehalten werden.

• Gastronomiebetriebe sollen geschlossen bleiben. Die Lieferung und das Abholen mitnahmefähiger Speisen für den Verzehr zu Hause bleibt aber erlaubt.

• Dienstleistungsbetriebe im Bereich der Körperpflege - darunter Friseure und Kosmetikstudios - sollen geschlossen werden. Medizinisch notwendige Behandlungen sollen weiter möglich bleiben.

• Verstöße gegen die Kontaktbeschränkungen sollen von Ordnungsbehörden und Polizei überwacht und sanktioniert werden.

• Hygienevorschriften sollen in Betrieben für Mitarbeiter und Besucher eingehalten werden.

• Der Weg zur Arbeit, Hilfe für andere oder individueller Sport und Bewegung an der frischen Luft sollen der Vereinbarung zufolge aber weiterhin möglich sein. Ausnahmen gelten demnach zudem für zwingend notwendige Zusammenkünfte aus geschäftlichen, beruflichen und dienstlichen sowie aus prüfungs- und betreuungsrelevanten Gründen.

• Die Anordnung gilt zunächst für zwei Wochen",Incident related to disaster control,Gültig,2020-03-20 00:00:01,unbegrenzt,DE-BW Baden-Württemberg,48.778514,9.183298,https://www.baden-wuerttemberg.de/fileadmin/redaktion/dateien/PDF/Coronainfos/200320_Verordnung_zur_Aenderung_der_CoronaVO.pdf
Corona-Pandemie: Betretungsverbot für Hochschulen,"DE-BY Bayern - *Gültig* -

Von 17.03.2020 / Gültig bis 19.04.2020
- ACHTUNG Könnte abgelöst sein von bundesweiten Anordnungen (federal law):

https://www.bundesregierung.de/breg-de/themen/coronavirus/coronavirus-1725960

https://www.bundesregierung.de/breg-de/aktuelles

Neun Punkte Plan

• Ansammlungen von mehr als 2 Personen sind bundesweit verboten.
Ausgenommen werden sollen Familien sowie in einem Haushalt lebende Personen.

• Generell soll der Kontakt zu anderen auf ein Mindestmaß beschränkt werden.

• In der Öffentlichkeit muss ein 1,50-Meter-Abstand eingehalten werden.

• Gastronomiebetriebe sollen geschlossen bleiben. Die Lieferung und das Abholen mitnahmefähiger Speisen für den Verzehr zu Hause bleibt aber erlaubt.

• Dienstleistungsbetriebe im Bereich der Körperpflege - darunter Friseure und Kosmetikstudios - sollen geschlossen werden. Medizinisch notwendige Behandlungen sollen weiter möglich bleiben.

• Verstöße gegen die Kontaktbeschränkungen sollen von Ordnungsbehörden und Polizei überwacht und sanktioniert werden.

• Hygienevorschriften sollen in Betrieben für Mitarbeiter und Besucher eingehalten werden.

• Der Weg zur Arbeit, Hilfe für andere oder individueller Sport und Bewegung an der frischen Luft sollen der Vereinbarung zufolge aber weiterhin möglich sein. Ausnahmen gelten demnach zudem für zwingend notwendige Zusammenkünfte aus geschäftlichen, beruflichen und dienstlichen sowie aus prüfungs- und betreuungsrelevanten Gründen.

• Die Anordnung gilt zunächst für zwei Wochen",Incident related to disaster control,Gültig,2020-03-16 00:00:01,2020-04-18 00:00:01,DE-BY Bayern,48.136832,11.593544,https://www.stmgp.bayern.de/wp-content/uploads/2020/03/20200317_allgemeinverfuegung_hochschulen_bf.pdf
Meldepflicht für Beatmungsgeräte,"DE-BY Bayern - *Gültig* -

Von 18.03.2020 / Gültig bis 20.04.2020
- ACHTUNG Könnte abgelöst sein von bundesweiten Anordnungen (federal law):

https://www.bundesregierung.de/breg-de/themen/coronavirus/coronavirus-1725960

https://www.bundesregierung.de/breg-de/aktuelles

Neun Punkte Plan

• Ansammlungen von mehr als 2 Personen sind bundesweit verboten.
Ausgenommen werden sollen Familien sowie in einem Haushalt lebende Personen.

• Generell soll der Kontakt zu anderen auf ein Mindestmaß beschränkt werden.

• In der Öffentlichkeit muss ein 1,50-Meter-Abstand eingehalten werden.

• Gastronomiebetriebe sollen geschlossen bleiben. Die Lieferung und das Abholen mitnahmefähiger Speisen für den Verzehr zu Hause bleibt aber erlaubt.

• Dienstleistungsbetriebe im Bereich der Körperpflege - darunter Friseure und Kosmetikstudios - sollen geschlossen werden. Medizinisch notwendige Behandlungen sollen weiter möglich bleiben.

• Verstöße gegen die Kontaktbeschränkungen sollen von Ordnungsbehörden und Polizei überwacht und sanktioniert werden.

• Hygienevorschriften sollen in Betrieben für Mitarbeiter und Besucher eingehalten werden.

• Der Weg zur Arbeit, Hilfe für andere oder individueller Sport und Bewegung an der frischen Luft sollen der Vereinbarung zufolge aber weiterhin möglich sein. Ausnahmen gelten demnach zudem für zwingend notwendige Zusammenkünfte aus geschäftlichen, beruflichen und dienstlichen sowie aus prüfungs- und betreuungsrelevanten Gründen.

• Die Anordnung gilt zunächst für zwei Wochen",Incident related to disaster control,Gültig,2020-03-17 00:00:01,2020-04-19 00:00:01,DE-BY Bayern,48.135832,11.595544,https://www.stmgp.bayern.de/wp-content/uploads/2020/03/20200317_stmgp_allgemeinverfuegung_beatmungsgeraete_korrektur.pdf
